Kinase_UniprotID,name,pathways,Database
P49643,PRIM2,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
P15927,RPA2,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
P09884,POLA1,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
P35249,RFC4,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
P35244,RPA3,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
P12004,PCNA,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
P28340,POLD1,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
Q9HCU8,POLD4,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
O95996,APC2,WNT/Wingless,SignaLink
Q12834,CDC20,WNT/Wingless,SignaLink
O43683,BUB1,WNT/Wingless,SignaLink
P12004,PCNA,WNT/Wingless,SignaLink
Q13315,ATM,RTK,SignaLink
Q14191,WRN,RTK,SignaLink
P49959,MRE11,RTK,SignaLink
Q92878,RAD50,RTK,SignaLink
Q8WXE1,ATRIP,RTK,SignaLink
Q13535,ATR,RTK,SignaLink
P12004,PCNA,RTK,SignaLink
Q9HAW4,CLSPN,RTK,SignaLink
O14757,CHEK1,RTK,SignaLink
O75943,RAD17,RTK,SignaLink
Q8IYD8,FANCM,RTK,SignaLink
Q9BXW9,FANCD2,RTK,SignaLink
Q96GD4,AURKB,RTK,SignaLink
O15392,BIRC5,RTK,SignaLink
P38398,BRCA1,RTK,SignaLink
Q9Y6F1,PARP3,RTK,SignaLink
Q99728,BARD1,RTK,SignaLink
P49917,LIG4,RTK,SignaLink
P51587,BRCA2,RTK,SignaLink
Q06609,RAD51,RTK,SignaLink
P43351,RAD52,RTK,SignaLink
O43542,XRCC3,RTK,SignaLink
P54132,BLM,RTK,SignaLink
Q0VG06,FAAP100,RTK,SignaLink
Q6NZ36,FAAP20,RTK,SignaLink
Q9BTP7,FAAP24,RTK,SignaLink
O15360,FANCA,RTK,SignaLink
Q00597,FANCC,RTK,SignaLink
Q9HB96,FANCE,RTK,SignaLink
O15287,FANCG,RTK,SignaLink
Q9NPI8,FANCF,RTK,SignaLink
Q9NW38,FANCL,RTK,SignaLink
Q14469,HES1,Notch,SignaLink
Q8IYD8,FANCM,Notch,SignaLink
Q9BTP7,FAAP24,Notch,SignaLink
O15360,FANCA,Notch,SignaLink
Q8NB91,FANCB,Notch,SignaLink
Q00597,FANCC,Notch,SignaLink
Q9HB96,FANCE,Notch,SignaLink
O15287,FANCG,Notch,SignaLink
Q9NPI8,FANCF,Notch,SignaLink
Q9NW38,FANCL,Notch,SignaLink
P54132,BLM,Notch,SignaLink
Q6NZ36,FAAP20,Notch,SignaLink
Q0VG06,FAAP100,Notch,SignaLink
P38398,BRCA1,Notch,SignaLink
P12004,PCNA,Notch,SignaLink
Q9NVI1,FANCI,Notch,SignaLink
Q9BXW9,FANCD2,Notch,SignaLink
P49959,MRE11,Notch,SignaLink
P09874,PARP1,Notch,SignaLink
Q92878,RAD50,Notch,SignaLink
Q01094,E2F1,Notch,SignaLink
P51587,BRCA2,Notch,SignaLink
Q13616,CUL1,BCR|HH,SignaLink
P62877,RBX1,HH,SignaLink
P63208,SKP1,BCR,SignaLink
P06493,CDK1,BCR,SignaLink
O75419,CDC45,HH,SignaLink
Q99741,CDC6,HH,SignaLink
Q9H211,CDT1,HH,SignaLink
P49736,MCM2,HH,SignaLink
P25205,MCM3,HH,SignaLink
P33991,MCM4,HH,SignaLink
Q14566,MCM6,HH,SignaLink
P33993,MCM7,HH,SignaLink
Q13415,ORC1,HH,SignaLink
Q13416,ORC2,HH,SignaLink
Q9UBD5,ORC3,HH,SignaLink
O43929,ORC4,HH,SignaLink
O43913,ORC5,HH,SignaLink
Q9Y5N6,ORC6,HH,SignaLink
Q9UBU7,DBF4,HH,SignaLink
Q96AY2,EME1,HH,SignaLink
P40763,STAT3,JAK/STAT|NHR|TCR|IIP,SignaLink
P50613,CDK7,JAK/STAT|NHR|TCR|IIP,SignaLink
P07992,ERCC1,JAK/STAT|NHR|TCR|IIP,SignaLink
P51948,MNAT1,JAK/STAT|NHR|TCR|IIP,SignaLink
P15927,RPA2,JAK/STAT|NHR|TCR|IIP,SignaLink
P23025,XPA,JAK/STAT|NHR|TCR|IIP,SignaLink
P12004,PCNA,JAK/STAT|NHR|TCR|IIP,SignaLink
Q07864,POLE,JAK/STAT|NHR|TCR|IIP,SignaLink
P18887,XRCC1,JAK/STAT|NHR|TCR|IIP,SignaLink
P43246,MSH2,HH,SignaLink
Q8IY92,SLX4,HH,SignaLink
P07992,ERCC1,HH,SignaLink
P40692,MLH1,HH,SignaLink
Q9BXW9,FANCD2,HH,SignaLink
Q9NVI1,FANCI,HH,SignaLink
P12004,PCNA,HH,SignaLink
Q14691,GINS1,HH,SignaLink
Q9BRT9,GINS4,HH,SignaLink
O60921,HUS1,HH,SignaLink
O75943,RAD17,HH,SignaLink
O60671,RAD1,HH,SignaLink
Q14676,MDC1,HH,SignaLink
P09874,PARP1,HH,SignaLink
P06746,POLB,HH,SignaLink
Q14191,WRN,HH,SignaLink
P18887,XRCC1,HH,SignaLink
Q9UGN5,PARP2,HH,SignaLink
Q9UBZ9,REV1,HH,SignaLink
Q9UBT6,POLK,HH,SignaLink
Q9Y253,POLH,HH,SignaLink
Q13569,TDG,HH,SignaLink
O43521,BCL2L11,TNF|RTK,SignaLink
P15927,RPA2,TNF|RTK,SignaLink
P16298,PPP3CB,BCR|RTK,SignaLink
P03886,MT-ND1,BCR|RTK,SignaLink
P03891,MT-ND2,BCR|RTK,SignaLink
P03897,MT-ND3,BCR|RTK,SignaLink
P03905,MT-ND4,BCR|RTK,SignaLink
P03901,MT-ND4L,BCR|RTK,SignaLink
P03915,MT-ND5,BCR|RTK,SignaLink
P03923,MT-ND6,BCR|RTK,SignaLink
O15239,NDUFA1,BCR|RTK,SignaLink
O95299,NDUFA10,BCR|RTK,SignaLink
Q86Y39,NDUFA11,BCR|RTK,SignaLink
Q9UI09,NDUFA12,BCR|RTK,SignaLink
Q9P0J0,NDUFA13,BCR|RTK,SignaLink
O43678,NDUFA2,BCR|RTK,SignaLink
O95167,NDUFA3,BCR|RTK,SignaLink
O00483,NDUFA4,BCR|RTK,SignaLink
Q16718,NDUFA5,BCR|RTK,SignaLink
P56556,NDUFA6,BCR|RTK,SignaLink
O95182,NDUFA7,BCR|RTK,SignaLink
P51970,NDUFA8,BCR|RTK,SignaLink
Q16795,NDUFA9,BCR|RTK,SignaLink
O14561,NDUFAB1,BCR|RTK,SignaLink
O75438,NDUFB1,BCR|RTK,SignaLink
O96000,NDUFB10,BCR|RTK,SignaLink
Q9NX14,NDUFB11,BCR|RTK,SignaLink
O95178,NDUFB2,BCR|RTK,SignaLink
O43676,NDUFB3,BCR|RTK,SignaLink
O95168,NDUFB4,BCR|RTK,SignaLink
O43674,NDUFB5,BCR|RTK,SignaLink
O95139,NDUFB6,BCR|RTK,SignaLink
P17568,NDUFB7,BCR|RTK,SignaLink
O95169,NDUFB8,BCR|RTK,SignaLink
Q9Y6M9,NDUFB9,BCR|RTK,SignaLink
O43677,NDUFC1,BCR|RTK,SignaLink
P28331,NDUFS1,BCR|RTK,SignaLink
O75306,NDUFS2,BCR|RTK,SignaLink
O75489,NDUFS3,BCR|RTK,SignaLink
O43181,NDUFS4,BCR|RTK,SignaLink
O43920,NDUFS5,BCR|RTK,SignaLink
O75380,NDUFS6,BCR|RTK,SignaLink
O75251,NDUFS7,BCR|RTK,SignaLink
O00217,NDUFS8,BCR|RTK,SignaLink
P49821,NDUFV1,BCR|RTK,SignaLink
P19404,NDUFV2,BCR|RTK,SignaLink
P56181,NDUFV3,BCR|RTK,SignaLink
P09622,DLD,BCR|RTK,SignaLink
Q99643,SDHC,BCR|RTK,SignaLink
P00156,MT-CYB,BCR|RTK,SignaLink
Q92934,BAD,TNF|TCR,SignaLink
P00156,MT-CYB,TNF|TCR,SignaLink
P14927,UQCRB,TNF|TCR,SignaLink
P31040,SDHA,TNF|TCR,SignaLink
Q99643,SDHC,TNF|TCR,SignaLink
P31930,UQCRC1,TNF|TCR,SignaLink
P22695,UQCRC2,TNF|TCR,SignaLink
P47985,UQCRFS1,TNF|TCR,SignaLink
P07919,UQCRH,TNF|TCR,SignaLink
O14949,UQCRQ,TNF|TCR,SignaLink
P00846,MT-ATP6,TNF|TCR,SignaLink
Q16611,BAK1,TNF|TCR,SignaLink
Q9BQ95,ECSIT,RTK,SignaLink
Q9Y375,NDUFAF1,RTK,SignaLink
Q9Y376,CAB39,RTK,SignaLink
O00161,SNAP23,RTK,SignaLink
Q15831,STK11,WNT/Wingless|RTK,SignaLink
Q13617,CUL2,WNT/Wingless|RTK,SignaLink
P63244,RACK1,RTK|JAK/STAT,SignaLink
Q13618,CUL3,HH,SignaLink
Q9P2Y5,UVRAG,HH,SignaLink
Q13617,CUL2,HH,SignaLink
Q8NCN5,PDPR,HH,SignaLink
O95600,KLF8,HH,SignaLink
Q07820,MCL1,HH,SignaLink
Q9UBK2,PPARGC1A,RTK,SignaLink
Q96PG8,BBC3,RTK,SignaLink
Q07820,MCL1,RTK,SignaLink
Q12778,FOXO1,TNF|RTK,SignaLink
Q07820,MCL1,TNF|RTK,SignaLink
O00291,HIP1,TNF|RTK,SignaLink
O15392,BIRC5,TNF|RTK,SignaLink
P31350,RRM2,TNF|RTK,SignaLink
P98170,XIAP,TNF,SignaLink
Q15382,RHEB,WNT/Wingless|RTK,SignaLink
O60264,SMARCA5,RTK,SignaLink
Q16531,DDB1,HH,SignaLink
Q99728,BARD1,HH,SignaLink
P38398,BRCA1,HH,SignaLink
Q9UH92,MLX,HH,SignaLink
P00367,GLUD1,TNF|RTK|TLR|IIP,SignaLink
P15104,GLUL,TNF|RTK|TLR|IIP,SignaLink
Q8NB16,MLKL,TNF|RTK|TLR|IIP,SignaLink
P06737,PYGL,TNF|RTK|TLR|IIP,SignaLink
Q9Y572,RIPK3,JAK/STAT,SignaLink
P48023,FASLG,TNF|RTK|IIP,SignaLink
Q9UER7,DAXX,RTK|TGF,SignaLink
P25445,FAS,TNF|RTK|IIP,SignaLink
O95631,NTN1,TNF|RTK|TLR|IIP,SignaLink
P53355,DAPK1,TNF|RTK|TLR|IIP,SignaLink
P20674,COX5A,TNF|RTK|TLR|IIP,SignaLink
P13073,COX4I1,TNF|RTK|TLR|IIP,SignaLink
P09669,COX6C,TNF|RTK|TLR|IIP,SignaLink
P24311,COX7B,TNF|RTK|TLR|IIP,SignaLink
P15954,COX7C,TNF|RTK|TLR|IIP,SignaLink
P00395,MT-CO1,TNF|RTK|TLR|IIP,SignaLink
P00403,MT-CO2,TNF|RTK|TLR|IIP,SignaLink
P00414,MT-CO3,TNF|RTK|TLR|IIP,SignaLink
Q9Y6K9,IKBKG,BCR|TLR|TCR,SignaLink
O15519,CFLAR,TNF,SignaLink
P20674,COX5A,TNF|JAK/STAT|RTK|IIP,SignaLink
P10606,COX5B,TNF|JAK/STAT|RTK|IIP,SignaLink
P09669,COX6C,TNF|JAK/STAT|RTK|IIP,SignaLink
P15954,COX7C,TNF|JAK/STAT|RTK|IIP,SignaLink
P24311,COX7B,TNF|JAK/STAT|RTK|IIP,SignaLink
P00414,MT-CO3,TNF|JAK/STAT|RTK|IIP,SignaLink
Q8NB16,MLKL,TNF|JAK/STAT|RTK|IIP,SignaLink
Q96BI3,APH1A,Notch,SignaLink
P53355,DAPK1,JAK/STAT,SignaLink
Q8IZJ1,UNC5B,JAK/STAT,SignaLink
O95631,NTN1,JAK/STAT,SignaLink
P01138,NGF,RTK,SignaLink
Q9Y4K3,TRAF6,JAK/STAT|RTK|TGF|TLR|IIP,SignaLink
Q9C000,NLRP1,IIP,SignaLink
Q14457,BECN1,IIP,SignaLink
Q8NEB9,PIK3C3,IIP,SignaLink
Q9H1Y0,ATG5,IIP,SignaLink
Q9P2Y5,UVRAG,IIP,SignaLink
O95721,SNAP29,IIP,SignaLink
P05198,EIF2S1,IIP,SignaLink
O95182,NDUFA7,TNF|RTK|TLR|IIP,SignaLink
O95168,NDUFB4,TNF|RTK|TLR|IIP,SignaLink
O43674,NDUFB5,TNF|RTK|TLR|IIP,SignaLink
O95139,NDUFB6,TNF|RTK|TLR|IIP,SignaLink
Q14232,EIF2B1,TNF|RTK|TLR|IIP,SignaLink
Q9NR50,EIF2B3,TNF|RTK|TLR|IIP,SignaLink
Q13144,EIF2B5,TNF|RTK|TLR|IIP,SignaLink
P28331,NDUFS1,TNF|RTK|TLR|IIP,SignaLink
Q16236,NFE2L2,TNF|RTK|TLR|IIP,SignaLink
Q07812,BAX,RTK,SignaLink
O15111,CHUK,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
P20042,EIF2S2,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
P05198,EIF2S1,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
O15239,NDUFA1,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
O43677,NDUFC1,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
Q9Y6M9,NDUFB9,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
P60059,SEC61G,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
P60468,SEC61B,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
Q86TM6,SYVN1,BCR|TGF|TCR|Notch|TLR|IIP,SignaLink
O95182,NDUFA7,TNF|JAK/STAT|RTK|IIP,SignaLink
Q99643,SDHC,TNF|JAK/STAT|RTK|IIP,SignaLink
Q13501,SQSTM1,RTK,SignaLink
Q9ULZ3,PYCARD,IIP,SignaLink
Q08752,PPID,IIP,SignaLink
P37231,PPARG,NHR|RTK,SignaLink
O15379,HDAC3,BCR|TLR|TCR,SignaLink
P31785,IL2RG,JAK/STAT,SignaLink
P24394,IL4R,JAK/STAT,SignaLink
O15379,HDAC3,JAK/STAT,SignaLink
O75376,NCOR1,JAK/STAT,SignaLink
O60907,TBL1X,JAK/STAT,SignaLink
P32927,CSF2RB,JAK/STAT,SignaLink
Q9Y6Y9,LY96,TLR,SignaLink
P08571,CD14,TLR,SignaLink
O15379,HDAC3,TLR,SignaLink
P20042,EIF2S2,TLR,SignaLink
P58753,TIRAP,TLR,SignaLink
P40933,IL15,JAK/STAT,SignaLink
P14784,IL2RB,JAK/STAT,SignaLink
Q99665,IL12RB2,JAK/STAT,SignaLink
Q14116,IL18,IIP,SignaLink
O95256,IL18RAP,IIP,SignaLink
P48551,IFNAR2,TLR|JAK/STAT,SignaLink
P13747,HLA-E,JAK/STAT,SignaLink
Q13241,KLRD1,JAK/STAT,SignaLink
P56945,BCAR1,IIP,SignaLink
P22681,CBL,RTK|TCR|JAK/STAT,SignaLink
O14796,SH2D1B,RTK|TCR|IIP,SignaLink
P09326,CD48,RTK|TCR|IIP,SignaLink
P06756,ITGAV,RTK|TCR|IIP,SignaLink
P33681,CD80,TLR,SignaLink
O00206,TLR4,TLR,SignaLink
P63010,AP2B1,TLR,SignaLink
Q96CW1,AP2M1,TLR,SignaLink
P53680,AP2S1,TLR,SignaLink
O94973,AP2A2,TLR,SignaLink
Q8N4G2,ARL14,TLR,SignaLink
Q12965,MYO1E,TLR,SignaLink
P13498,CYBA,TLR,SignaLink
P04839,CYBB,TLR,SignaLink
P60568,IL2,JAK/STAT,SignaLink
P04839,CYBB,RTK|JAK/STAT,SignaLink
P49771,FLT3LG,RTK|JAK/STAT,SignaLink
